Event index,Peak Time (ms),Amplitude (nA),Baseline,Start time (ms),End time (ms),Duration (ms),Rise (ms),Decay (ms),Event start index,Event end index,peak index,Baseline start index,Baseline end index,quality score
1,1582.4,0.0838871,-19.560205,1582.368,1582.4720000000002,0.10399999999988196,0.032000000000032,0.07199999999984996,395592,395618,395600,395428,395553,0.3344423519771266
2,1950.6,0.07587814,-19.546093,1950.576,1950.644,0.06799999999995697,0.024000000000024,0.04399999999993298,487644,487661,487650,487500,487625,0.21829831125356602
3,2324.848,0.07534218,-19.551660000000002,2324.744,2325.092,0.3479999999997929,0.10399999999988196,0.2439999999999109,581186,581273,581212,581006,581131,0.21080670704702603
4,2385.3360000000002,0.083984375,-19.548095999999997,2385.276,2385.54,0.264000000000042,0.059999999999948976,0.20400000000009302,596319,596385,596334,596181,596306,0.3351172760161255
5,3547.3320000000003,0.08208084,-19.552296,3547.312,3547.3920000000007,0.08000000000008001,0.020000000000131024,0.059999999999948976,886828,886848,886833,886683,886808,0.3081564240211353
6,8506.831999999999,1.3511715,-19.521338,8506.704,8506.896,0.192000000000192,0.128000000000128,0.064000000000064,2126676,2126724,2126708,2126458,2126583,9.699324077334358
7,14823.376,0.12851524,-19.470556,14823.3,14823.42,0.1199999999990098,0.07599999999996497,0.0439999999990448,3705825,3705855,3705844,3705681,3705806,0.931258226015923
8,17586.016,0.16811562,-19.443018,17585.988,17586.068,0.0800000000005241,0.02800000000036107,0.052000000000163034,4396497,4396517,4396504,4396351,4396476,1.3954419899342883
9,20119.836,0.1003418,-19.4729,20119.811999999998,20119.896,0.08400000000108321,0.02399999999980196,0.06000000000128125,5029953,5029974,5029959,5029809,5029934,0.5633300265158033
10,25058.444,1.3154793,-19.418507,25058.404,25058.5,0.09599999999920784,0.039999999998485684,0.05600000000072214,6264601,6264625,6264611,6264449,6264574,10.015351376822345
11,26323.288,0.06977463,-19.417920000000002,26323.267999999996,26323.327999999998,0.06000000000128125,0.019999999999242846,0.040000000002038405,6580817,6580832,6580822,6580672,6580797,0.12797291537014202
12,32409.108,0.06962967,-19.460499,32409.072,32409.228,0.15599999999693634,0.035999999994373866,0.1200000000025625,8102268,8102307,8102277,8102113,8102238,0.1258477586029729
13,32917.872,0.08803749,-19.423975,32917.840000000004,32917.92,0.07999999999697137,0.03199999999736747,0.04799999999960392,8229460,8229480,8229468,8229310,8229435,0.3925552372211137
14,35859.68,0.32822227,-19.462744,35859.636,35859.744,0.10799999999733244,0.04399999999549209,0.06400000000184036,8964909,8964936,8964920,8964758,8964883,2.880288682563944
15,41229.956,1.0013676,-19.452295,41229.876,41230.016,0.14000000000180535,0.08000000000407681,0.05999999999772854,10307469,10307504,10307489,10307312,10307437,8.412521586522104
16,42072.096,0.07773399,-19.48081,42072.068,42072.144,0.07599999999996497,0.027999999993255642,0.048000000006709335,10518017,10518036,10518024,10517874,10517999,0.24531163660899408
17,44161.38799999999,0.06953049,-19.454296,44161.26,44161.432,0.1719999999991728,0.1279999999965753,0.04400000000259752,11040315,11040358,11040347,11040197,11040322,0.12442942020465352
18,47381.664,0.092479706,-19.477245,47381.587999999996,47381.755999999994,0.16799999999506102,0.07599999999996497,0.09199999999509599,11845397,11845439,11845416,11845242,11845367,0.4542280751126037
19,49411.6,0.3934574,-19.473047,49411.572,49411.648,0.07599999999996497,0.02800000000036107,0.04799999999960392,12352893,12352912,12352900,12352750,12352875,3.4384675135064287
20,49868.992,0.0711422,-19.480322,49868.96400000001,49869.056,0.09200000000220143,0.02800000000036107,0.06400000000184036,12467241,12467264,12467248,12467098,12467223,0.14837361289496945
21,52274.184,0.106054306,-19.478613,52274.144,52274.244000000006,0.09999999999621424,0.039999999998485684,0.05999999999772854,13068536,13068561,13068546,13068376,13068501,0.6433396534648073
22,53699.636,0.28061485,-19.45786,53699.592,53699.724,0.13200000000068712,0.04400000000259752,0.0879999999980896,13424898,13424931,13424909,13424739,13424864,2.5324490385558676
23,54557.44,0.15268517,-19.452002,54557.407999999996,54557.48,0.07200000000295859,0.032000000004472895,0.039999999998485684,13639352,13639370,13639360,13639203,13639328,1.2042275889732337
24,60671.34,0.07075119,-19.425,60671.316,60671.496,0.18000000000029104,0.024000000003354668,0.15599999999693634,15167829,15167874,15167835,15167679,15167804,0.14281685139338407
25,60868.755999999994,0.13295937,-19.420069,60868.704000000005,60868.795999999995,0.09200000000220143,0.05200000000371574,0.039999999998485684,15217176,15217199,15217189,15217035,15217160,0.9802783758640519
26,71305.95999999999,0.07299805,-19.360107,71305.944,71306.136,0.1919999999984157,0.016000000002236447,0.1759999999961792,17826486,17826534,17826490,17826340,17826465,0.17609742586324856
27,73772.58399999999,0.06806564,-19.37959,73772.416,73772.664,0.2479999999991378,0.16800000000216642,0.07999999999697137,18443104,18443166,18443146,18442896,18443021,0.10184523835490102
28,76891.128,1.4366207,-19.36875,76891.084,76891.18400000001,0.10000000000331966,0.04400000000259752,0.05600000000072214,19222771,19222796,19222782,19222613,19222738,9.741285883265418
29,82848.04400000001,0.15131760000000002,-19.334667,82847.976,82848.148,0.1719999999920674,0.06799999999884676,0.10399999999322064,20711994,20712037,20712011,20711848,20711973,1.1953017426176729
30,89851.696,0.11577225,-19.311329,89851.56800000001,89851.808,0.2399999999909141,0.12799999998946987,0.11200000000144428,22462892,22462952,22462924,22462774,22462899,0.7721973900741865
31,95137.644,0.07841873,-19.33501,95137.604,95137.684,0.07999999999697137,0.039999999998485684,0.039999999998485684,23784401,23784421,23784411,23784254,23784379,0.2547730767551181
32,96167.656,0.13168907,-19.308935,96167.632,96167.70800000001,0.07599999999285956,0.023999999996249244,0.05199999999661031,24041908,24041927,24041914,24041764,24041889,0.9690892507467415
33,104786.76,0.076660156,-19.327148,104786.636,104786.81199999999,0.1759999999961792,0.1239999999995689,0.05199999999661031,26196659,26196703,26196690,26196489,26196614,0.2294581651975649
34,105545.476,1.4439945,-19.254053,105545.20800000001,105545.6,0.39200000000505497,0.2680000000054861,0.1239999999995689,26386302,26386400,26386369,26386192,26386317,9.259407443794412
